,CarbonSource,Carbon_conc,Gly,Met,SP,Titer,OD_OG,OD_Prod
35,12.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
36,13.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
37,14.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
38,15.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
39,16.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
40,17.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
41,18.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
42,0.0,48.486666666666665,4.853333333333333,9.566666666666668,1.1628503381580388,11.393026162111656,4.670624944046139,9.797499977648258
43,1.0,43.54953703703704,9.893333333333334,0.766666666666666,0.327279936664427,5.047474889044616,2.491249979138374,15.422500201165676
44,2.0,20.53944,9.84,7.266666666666667,1.1800851634863418,11.589665381920112,2.373541686659057,9.821041515072189
45,3.0,42.99999999999999,0.16,0.666666666666666,0.2595616440221119,6.415877131511329,3.782499950975179,24.718124881982803
46,4.0,5.27128205128205,9.84,9.266666666666666,0.1962778375358323,1.504837654753562,2.098125029951334,7.666875046342611
47,8.0,11.310044444444443,0.16,2.933333333333333,11.532679846317928,68.18937222611538,3.274583347737789,5.912708332737287
48,10.0,41.86666666666667,2.826666666666667,4.633333333333333,2.07459216110335,20.66293798177996,5.143125072717666,9.960000027567148
49,12.0,19.45,9.333333333333332,1.7,3.2356774791108758,32.4093547068442,2.3731250284612178,10.016250048428772
50,14.0,48.42488584474886,3.84,0.0,3.4415668438467004,29.425396519504787,4.768750068396329,8.550000001341104
51,16.0,0.1355555555555549,4.48,1.066666666666666,5.439914446807027,55.2627300864284,4.165625010281801,10.158749852925538
52,18.0,19.666666666666664,5.626666666666667,10.0,0.0,0.0,3.325625040233135,6.738750074654817
53,0.0,0.0,4.0,1.5,5.093215784221345,50.53212800747488,4.612708461135625,9.921458298315605
54,1.0,0.0,4.0,1.5,5.093215784221345,50.53212800747488,4.612708461135625,9.921458298315605
55,2.0,0.0,4.0,1.5,5.093215784221345,50.53212800747488,4.612708461135625,9.921458298315605
56,3.0,0.0,4.0,1.5,5.093215784221345,50.53212800747488,4.612708461135625,9.921458298315605
57,4.0,0.0,4.0,1.5,5.093215784221345,50.53212800747488,4.612708461135625,9.921458298315605
